input_house_number,input_street,input_borough,success,latitude,longitude,normalized_address,normalized_borough,zip_code,bbl,bin,community_district,cross_street_one,cross_street_two,error_message,geosupport_return_code
314,west 100 st,manhattan,True,40.798178,-73.972225,314 WEST  100 STREET,MANHATTAN,10025,1018887502,1057093,107,WEST END AVENUE,RIVERSIDE DRIVE,,00
350,5th ave,manhattan,True,40.748276,-73.98469,350 5 AVENUE,MANHATTAN,10118,1008350041,1015862,105,EAST   33 STREET,EAST   34 STREET,,00
1,wall st,manhattan,True,40.707278,-74.01191,1 WALL STREET,MANHATTAN,10005,1000237501,1000815,101,EXCHANGE ALLEY,RECTOR STREET,,01
1,times square,manhattan,True,40.756628,-73.986287,1 TIMES SQUARE,MANHATTAN,10036,1009950001,1022581,105,BROADWAY,7 AVENUE,,01
120,broadway,manhattan,True,40.708546,-74.011041,120 BROADWAY,MANHATTAN,10271,1000477501,1001026,101,PINE STREET,THAMES STREET,,00
33,thomas st,manhattan,True,40.716226,-74.005985,33 THOMAS STREET,MANHATTAN,10007,1001520013,1085517,101,BROADWAY,TRIMBLE PLACE,,00
185,broadway,manhattan,True,40.710602,-74.0101,185 BROADWAY,MANHATTAN,10007,1000637501,1090952,101,BROADWAY,CHURCH STREET,,01
75,broad st,manhattan,True,40.704541,-74.011552,75 BROAD STREET,MANHATTAN,10004,1000290070,1000849,101,MARKETFIELD STREET,SOUTH WILLIAM STREET,,00
invalid,fake street,manhattan,False,,,,,,,,,,,Geosupport error (code 11): 'FAKE STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES,11
200,vesey st,manhattan,True,40.714447,-74.015493,200 VESEY STREET,MANHATTAN,10281,1000160140,1000059,101,NORTH END WAY,NORTH END AVENUE,,00
